units_sold,discount_applied,revenue,clicks,impressions,conversion_rate,category,region,ad_ctr,ad_cpc,ad_spend,transaction_date_update,roi
219,0.21,78.53,44,191,0.23,Toys,North America,0.1856,0.96,178.18,Aug-2024,-55.92659108766416
194,0.17,146.98,6,473,0.01,Electronics,Europe,0.1296,1.01,130.9,Jan-2024,12.284186401833448
232,0.03,1444.82,23,440,0.05,Electronics,North America,0.0314,0.24,7.54,Mar-2024,19062.068965517243
222,0.04,859.45,17,477,0.04,Toys,North America,0.0101,1.78,17.98,Jul-2024,4680.033370411568
232,0.15,1201.87,1,98,0.01,Electronics,North America,0.0669,1.04,69.58,Jul-2024,1627.3210692727794
194,0.03,885.71,16,171,0.09,Electronics,Europe,0.1699,1.77,300.72,Dec-2023,194.52979515828676
230,0.09,901.15,27,165,0.16,Electronics,North America,0.0955,1.47,140.39,Mar-2024,541.8904480376095
211,0.23,258.23,30,421,0.07,Clothing,North America,0.1856,1.37,254.27,May-2024,1.5573996145829268
184,0.02,360.03,40,30,1.33,Toys,Europe,0.1762,1.72,303.06,Oct-2024,18.79825777073846
172,0.12,603.01,39,88,0.44,Home Appliances,Europe,0.1726,1.57,270.98,Aug-2024,122.5293379585209
227,0.12,12.66,20,215,0.09,Electronics,North America,0.0219,0.39,8.54,Mar-2024,48.24355971896957
162,0.04,1124.44,16,270,0.06,Clothing,Asia,0.1135,1.28,145.28,Nov-2024,673.9812775330397
213,0.07,332.27,8,184,0.04,Clothing,North America,0.1923,1.89,363.45,Dec-2024,-8.578896684550834
219,0.15,348.36,39,67,0.58,Toys,North America,0.1194,0.9,107.46,Aug-2024,224.17643774427697
177,0.26,68.44,45,88,0.51,Electronics,Asia,0.0683,0.39,26.64,Jan-2024,156.9069069069069
177,0.28,1055.61,45,343,0.13,Electronics,Asia,0.1096,0.76,83.3,Jan-2024,1167.2388955582232
227,0.13,176.44,16,42,0.38,Electronics,North America,0.0348,0.2,6.96,Sep-2024,2435.057471264368
146,0.29,16.03,15,17,0.88,Books,Asia,0.0168,1.74,29.23,Mar-2024,-45.15908313376668
169,0.02,505.05,32,391,0.08,Toys,Asia,0.1843,1.56,287.51,Jan-2024,75.66345518416752
196,0.18,541.63,3,162,0.02,Electronics,Europe,0.0242,0.37,8.95,Jan-2024,5951.731843575419
160,0.08,138.26,26,112,0.23,Books,Europe,0.1578,0.14,22.09,Jan-2024,525.894069714803
163,0.04,1738.48,7,86,0.08,Clothing,Asia,0.0304,1.24,37.7,Dec-2023,4511.352785145888
222,0.27,432.13,43,228,0.19,Toys,North America,0.1931,1.63,314.75,Mar-2024,37.29308975377283
170,0.04,1037.35,3,188,0.02,Toys,Asia,0.0497,1.62,80.51,Jul-2024,1188.4734815550862
188,0.1,672.05,17,337,0.05,Toys,Europe,0.1903,0.12,22.84,Oct-2024,2842.4255691768826
230,0.1,390.2,0,310,0.0,Electronics,North America,0.043,0.61,26.23,Dec-2023,1387.6096073198626
196,0.29,394.28,36,415,0.09,Electronics,Europe,0.1753,1.25,219.12,Jul-2024,79.93793355239137
176,0.25,136.64,34,388,0.09,Clothing,Europe,0.1485,1.22,181.17,Jun-2024,-24.57912457912458
161,0.05,445.72,22,188,0.12,Clothing,Asia,0.1399,0.39,54.56,Aug-2024,716.9354838709678
170,0.16,330.45,27,487,0.06,Toys,Asia,0.1431,1.43,204.63,Jul-2024,61.48658554464155
188,0.03,573.77,38,474,0.08,Toys,Europe,0.1598,1.47,234.91,Jul-2024,144.25098974075178
229,0.14,541.01,11,175,0.06,Electronics,North America,0.0122,0.64,7.81,Mar-2024,6827.144686299617
195,0.03,844.98,35,195,0.18,Electronics,Europe,0.1198,1.28,153.34,Dec-2023,451.0499543498109
154,0.14,765.69,32,451,0.07,Home Appliances,Asia,0.0379,1.12,42.45,Aug-2024,1703.745583038869
161,0.04,321.96,39,168,0.23,Clothing,Asia,0.0681,1.19,81.04,May-2024,297.28529121421514
169,0.01,1183.9,38,203,0.19,Home Appliances,Europe,0.1002,1.81,181.36,Oct-2024,552.7900308778121
183,0.11,134.73,11,444,0.02,Toys,Europe,0.1955,0.53,103.62,Nov-2024,30.023161551823957
192,0.29,468.73,13,447,0.03,Electronics,Europe,0.0527,0.58,30.57,May-2024,1433.3006215243704
166,0.18,97.24,33,400,0.08,Toys,Asia,0.1119,1.19,133.16,Jun-2024,-26.975067587864228
145,0.28,170.55,20,125,0.16,Books,Asia,0.1443,1.59,229.44,Mar-2024,-25.666841004184093
221,0.28,716.66,13,201,0.06,Toys,North America,0.1993,1.49,296.96,Nov-2024,141.33216594827587
229,0.08,295.18,5,362,0.01,Electronics,North America,0.1672,1.86,310.99,Mar-2024,-5.083764751278177
210,0.09,828.04,33,375,0.09,Clothing,North America,0.1326,1.25,165.75,Dec-2023,399.57164404223226
153,0.19,434.73,13,442,0.03,Home Appliances,Asia,0.0675,0.15,10.12,Jul-2024,4195.750988142293
184,0.26,508.2,29,443,0.07,Toys,Europe,0.1988,0.68,135.18,Dec-2023,275.9431868619618
210,0.22,341.76,48,407,0.12,Clothing,North America,0.0794,0.44,34.94,Apr-2024,878.1339439038352
216,0.1,369.82,12,309,0.04,Toys,North America,0.1187,0.4,47.48,Jun-2024,678.8963774220724
216,0.2,257.25,20,356,0.06,Toys,North America,0.1482,1.75,259.35,Oct-2024,-0.809716599190292
207,0.04,470.82,46,61,0.75,Clothing,North America,0.1749,1.29,225.62,Jul-2024,108.67830866057973
200,0.14,125.44,45,201,0.22,Home Appliances,North America,0.1171,0.69,80.8,May-2024,55.24752475247525
169,0.02,1413.9,25,30,0.83,Toys,Asia,0.1244,0.51,63.44,Sep-2024,2128.7200504413618
216,0.07,180.89,36,225,0.16,Toys,North America,0.1612,0.31,49.97,Jun-2024,261.9971983189914
167,0.05,905.52,15,45,0.33,Toys,Asia,0.1985,0.86,170.71,Aug-2024,430.4434420947806
160,0.12,849.09,25,51,0.49,Clothing,Asia,0.1918,1.71,327.98,Feb-2024,158.88468809073723
184,0.12,447.94,37,361,0.1,Toys,Europe,0.1717,0.82,140.79,Jul-2024,218.16180126429435
230,0.16,178.58,26,148,0.18,Electronics,North America,0.0557,1.03,57.37,Nov-2024,211.27767125675442
189,0.09,453.25,14,489,0.03,Books,North America,0.1258,1.17,147.19,Sep-2024,207.93532169304981
168,0.15,773.26,36,334,0.11,Home Appliances,Europe,0.1303,1.07,139.42,Nov-2024,454.62630899440546
175,0.25,148.71,42,430,0.1,Electronics,Asia,0.1611,1.58,254.54,Apr-2024,-41.57696236347921
216,0.01,85.91,23,281,0.08,Toys,North America,0.0827,0.62,51.27,Feb-2024,67.56387751121513
162,0.04,560.83,45,372,0.12,Clothing,Asia,0.0461,0.23,10.6,Nov-2024,5190.849056603774
161,0.1,494.45,34,95,0.36,Clothing,Asia,0.0899,1.09,97.99,Mar-2024,404.59230533727936
175,0.28,509.03,33,212,0.16,Electronics,Asia,0.1844,0.8,147.52,Apr-2024,245.05829718004338
175,0.27,598.48,5,345,0.01,Electronics,Asia,0.1459,0.67,97.75,Nov-2024,512.2557544757034
177,0.21,298.62,5,98,0.05,Clothing,Europe,0.0755,1.41,106.46,Aug-2024,180.49971820402033
176,0.03,562.21,30,156,0.19,Clothing,Europe,0.0972,1.56,151.63,Feb-2024,270.77755061663265
191,0.12,251.79,41,456,0.09,Books,North America,0.1321,1.37,180.98,Aug-2024,39.125870261907394
159,0.07,906.12,39,282,0.14,Clothing,Asia,0.1016,1.39,141.22,Sep-2024,541.6371618750885
159,0.26,44.95,0,280,0.0,Clothing,Asia,0.1379,0.66,91.01,Jan-2024,-50.60982309636304
184,0.09,701.2,35,214,0.16,Toys,Europe,0.0334,0.32,10.69,Sep-2024,6459.401309635173
188,0.13,774.11,7,374,0.02,Books,North America,0.1342,0.58,77.84,Dec-2023,894.4886947584788
144,0.06,331.15,48,280,0.17,Books,Asia,0.1963,0.7,137.41,Aug-2024,140.9941052325158
200,0.26,657.39,24,84,0.29,Home Appliances,North America,0.1244,0.21,26.12,Jan-2024,2416.8070444104133
175,0.21,339.67,11,455,0.02,Electronics,Asia,0.1189,0.2,23.78,Oct-2024,1328.3851976450799
226,0.26,586.49,17,310,0.05,Electronics,North America,0.1794,1.29,231.43,Aug-2024,153.42004061703324
175,0.08,536.38,47,135,0.35,Electronics,Asia,0.1115,0.91,101.46,Dec-2023,428.6615414941849
224,0.18,383.89,25,186,0.13,Electronics,North America,0.1884,0.73,137.53,Jan-2024,179.13182578346542
200,0.06,1757.01,2,95,0.02,Home Appliances,North America,0.0133,1.74,23.14,Aug-2024,7492.955920484011
190,0.26,15.57,38,315,0.12,Electronics,Europe,0.0225,0.85,19.12,Feb-2024,-18.566945606694564
161,0.2,1444.99,5,182,0.03,Books,Europe,0.1127,0.68,76.64,Nov-2024,1785.4253653444675
196,0.23,125.84,22,474,0.05,Home Appliances,North America,0.1053,1.54,162.16,Aug-2024,-22.397631968426243
210,0.18,366.67,21,110,0.19,Clothing,North America,0.1958,1.39,272.16,Jan-2024,34.72589653145208
184,0.21,1120.09,48,477,0.1,Toys,Europe,0.1074,1.45,155.73,Jul-2024,619.2512682206383
188,0.18,31.01,6,337,0.02,Books,North America,0.1854,0.24,44.5,May-2024,-30.31460674157303
175,0.29,402.27,4,192,0.02,Clothing,Europe,0.07,0.66,46.2,Aug-2024,770.7142857142857
175,0.16,288.87,2,92,0.02,Clothing,Europe,0.0784,1.72,134.85,Jun-2024,114.21579532814239
173,0.1,103.39,37,371,0.1,Clothing,Europe,0.0687,1.14,78.32,Dec-2023,32.00970377936671
191,0.01,793.44,36,270,0.13,Electronics,Europe,0.0629,0.83,52.21,Jul-2024,1419.7088680329439
152,0.03,219.09,30,286,0.1,Home Appliances,Asia,0.1525,1.3,198.25,Oct-2024,10.511979823455235
175,0.27,975.43,27,440,0.06,Electronics,Asia,0.1937,1.56,302.17,Jul-2024,222.8083529139226
226,0.02,1220.22,10,165,0.06,Electronics,North America,0.0411,0.32,13.15,Jun-2024,9179.239543726235
164,0.01,286.85,28,230,0.12,Toys,Asia,0.1301,1.64,213.36,Feb-2024,34.44413198350206
197,0.11,507.75,4,58,0.07,Home Appliances,North America,0.0103,1.49,15.35,Dec-2023,3207.817589576547
224,0.13,231.75,12,453,0.03,Electronics,North America,0.1019,0.78,79.48,Feb-2024,191.58278812279818
182,0.1,135.67,48,131,0.37,Toys,Europe,0.1264,0.15,18.96,Mar-2024,615.5590717299576
223,0.15,101.98,14,345,0.04,Electronics,North America,0.1953,0.73,142.57,Apr-2024,-28.470225152556633
199,0.27,1378.39,4,257,0.02,Home Appliances,North America,0.0657,1.97,129.43,Mar-2024,964.9694815730511
152,0.09,1330.06,29,412,0.07,Home Appliances,Asia,0.1265,1.09,137.89,Jun-2024,864.5804626876497
168,0.26,108.75,12,218,0.06,Home Appliances,Europe,0.077,1.78,137.06,Jul-2024,-20.655187509120097
165,0.07,309.22,49,428,0.11,Home Appliances,Europe,0.165,1.06,174.9,Nov-2024,76.79817038307606
205,0.19,751.4,8,202,0.04,Clothing,North America,0.057,0.37,21.09,Jul-2024,3462.825983878615
153,0.27,1340.43,24,42,0.57,Home Appliances,Asia,0.0898,0.53,47.59,Jun-2024,2716.621138894726
182,0.05,928.85,2,96,0.02,Toys,Europe,0.1419,1.15,163.18,May-2024,469.21804142664547
174,0.28,780.75,43,460,0.09,Electronics,Asia,0.0896,0.24,21.5,Apr-2024,3531.3953488372094
166,0.05,1064.68,47,322,0.15,Toys,Asia,0.0936,0.67,62.71,Sep-2024,1597.7834476160103
145,0.03,1251.73,42,369,0.11,Books,Asia,0.1307,0.15,19.6,Jul-2024,6286.377551020409
213,0.27,156.0,26,483,0.05,Toys,North America,0.1763,1.4,246.82,Nov-2024,-36.7960457013208
213,0.17,48.34,43,404,0.11,Toys,North America,0.1396,1.85,258.26,Jul-2024,-81.28242856036552
172,0.28,189.19,26,321,0.08,Electronics,Asia,0.1921,1.86,357.31,Jun-2024,-47.05157986062523
167,0.29,486.52,5,461,0.01,Home Appliances,Europe,0.0948,1.01,95.75,Sep-2024,408.11488250652735
170,0.09,27.98,43,159,0.27,Electronics,Asia,0.1397,0.12,16.76,Jan-2024,66.945107398568
197,0.24,1359.94,13,226,0.06,Home Appliances,North America,0.1779,0.33,58.71,Dec-2023,2216.368591381366
191,0.18,780.05,35,191,0.18,Electronics,Europe,0.1948,0.91,177.27,Feb-2024,340.03497489704966
196,0.2,851.52,30,444,0.07,Home Appliances,North America,0.0781,0.72,56.23,Jun-2024,1414.3517695180508
188,0.24,318.47,26,165,0.16,Books,North America,0.0479,0.51,24.43,Jan-2024,1203.6021285304955
216,0.12,284.66,6,84,0.07,Toys,North America,0.0427,1.63,69.6,Mar-2024,308.99425287356325
165,0.25,254.01,0,212,0.0,Home Appliances,Europe,0.1188,1.5,178.2,Jan-2024,42.54208754208755
174,0.01,947.47,15,21,0.71,Electronics,Asia,0.1882,0.69,129.86,Jan-2024,629.60880948714
164,0.18,253.92,15,264,0.06,Home Appliances,Europe,0.1031,0.18,18.56,Apr-2024,1268.103448275862
159,0.2,213.82,39,371,0.11,Books,Europe,0.1229,0.29,35.64,Aug-2024,499.9438832772166
190,0.07,1361.72,22,421,0.05,Electronics,Europe,0.0813,0.53,43.09,Feb-2024,3060.176375029009
184,0.01,246.55,45,291,0.15,Books,North America,0.0552,1.81,99.91,Jan-2024,146.77209488539688
188,0.07,1793.93,19,474,0.04,Books,North America,0.1902,0.49,93.2,Aug-2024,1824.8175965665237
173,0.24,190.02,3,258,0.01,Clothing,Europe,0.1348,0.9,121.32,Sep-2024,56.62710187932741
162,0.09,337.83,17,53,0.32,Home Appliances,Europe,0.1674,0.76,127.22,Jul-2024,165.54786983178744
210,0.07,203.43,32,200,0.16,Toys,North America,0.0409,0.4,16.36,Aug-2024,1143.4596577017114
187,0.2,866.14,24,215,0.11,Books,North America,0.0192,0.1,1.92,Jul-2024,45011.458333333336
169,0.04,339.01,0,278,0.0,Electronics,Asia,0.1905,0.22,41.91,Nov-2024,708.9000238606538
155,0.07,388.98,35,45,0.78,Clothing,Asia,0.1724,0.9,155.16,Oct-2024,150.69605568445476
151,0.05,357.58,24,418,0.06,Home Appliances,Asia,0.0563,1.5,84.45,Sep-2024,323.42214328004735
165,0.28,962.99,4,266,0.02,Home Appliances,Europe,0.0412,1.33,54.8,Sep-2024,1657.2810218978107
186,0.18,55.87,44,152,0.29,Electronics,Europe,0.1305,0.74,96.57,Mar-2024,-42.1455938697318
151,0.16,1019.19,14,421,0.03,Home Appliances,Asia,0.1448,1.77,256.3,Apr-2024,297.6550916894265
170,0.26,633.29,13,352,0.04,Electronics,Asia,0.0548,1.2,65.76,Apr-2024,863.0322384428222
141,0.1,211.48,37,43,0.86,Books,Asia,0.1579,0.25,39.48,May-2024,435.6636271529889
158,0.26,801.18,26,90,0.29,Books,Europe,0.033,1.28,42.24,Mar-2024,1796.7329545454543
178,0.22,307.27,34,333,0.1,Toys,Europe,0.0839,1.82,152.7,Dec-2023,101.22462344466274
158,0.02,1521.43,10,302,0.03,Clothing,Asia,0.1205,1.33,160.26,May-2024,849.3510545363785
163,0.25,551.07,15,234,0.06,Toys,Asia,0.0478,1.44,68.83,Aug-2024,700.6247275897139
182,0.23,793.65,12,121,0.1,Toys,Europe,0.0913,0.72,65.74,Mar-2024,1107.255856404016
201,0.29,348.2,8,371,0.02,Clothing,North America,0.1667,1.15,191.7,Jul-2024,81.6379760041732
190,0.17,1389.25,43,388,0.11,Electronics,Europe,0.0257,1.24,31.87,Dec-2023,4259.115155318482
219,0.24,183.29,49,93,0.53,Electronics,North America,0.1514,0.82,124.15,Mar-2024,47.635924285138934
141,0.03,392.67,9,209,0.04,Books,Asia,0.0312,0.5,15.6,Feb-2024,2417.1153846153848
210,0.12,311.36,46,199,0.23,Toys,North America,0.069,1.7,117.3,Oct-2024,165.43904518329072
140,0.02,112.86,27,284,0.1,Books,Asia,0.061,1.93,117.73,Nov-2024,-4.136583708485522
185,0.12,209.12,49,396,0.12,Books,North America,0.1271,1.88,238.95,Dec-2024,-12.483783218246488
150,0.03,770.61,38,57,0.67,Home Appliances,Asia,0.0305,0.23,7.02,Aug-2024,10877.35042735043
203,0.15,347.67,25,207,0.12,Clothing,North America,0.0767,1.99,152.63,Apr-2024,127.78614951189151
185,0.01,659.58,7,136,0.05,Books,North America,0.0356,0.83,29.55,Sep-2024,2132.081218274112
170,0.22,246.96,41,376,0.11,Clothing,Europe,0.1741,1.04,181.06,Feb-2024,36.39677454987297
156,0.17,392.55,18,179,0.1,Clothing,Asia,0.15,0.89,133.5,Apr-2024,194.04494382022472
169,0.01,19.63,47,272,0.17,Clothing,Europe,0.0961,0.16,15.38,Sep-2024,27.633289986996086
184,0.05,1352.89,44,441,0.1,Books,North America,0.1876,1.67,313.29,Aug-2024,331.8331258578314
163,0.28,665.63,21,365,0.06,Toys,Asia,0.0385,0.38,14.63,Jul-2024,4449.760765550239
179,0.1,266.33,20,256,0.08,Toys,Europe,0.1102,1.76,193.95,Apr-2024,37.31889662284094
170,0.25,505.12,36,247,0.15,Electronics,Asia,0.0436,1.87,81.53,Dec-2023,519.5510854900037
188,0.03,1080.08,45,414,0.11,Electronics,Europe,0.0667,1.14,76.04,Oct-2024,1320.4103103629666
168,0.14,161.66,3,308,0.01,Electronics,Asia,0.0871,0.3,26.13,Aug-2024,518.6758515116725
195,0.22,551.05,46,437,0.11,Home Appliances,North America,0.1538,0.14,21.53,Apr-2024,2459.451927542963
169,0.11,397.45,29,199,0.15,Clothing,Europe,0.1333,0.62,82.65,Oct-2024,380.88324258923166
169,0.17,382.46,47,11,4.27,Electronics,Asia,0.0299,1.67,49.93,Dec-2023,665.9923893450831
156,0.04,1413.68,47,167,0.28,Books,Europe,0.0886,0.55,48.73,Mar-2024,2801.046583213626
182,0.29,85.99,45,24,1.88,Books,North America,0.0224,0.52,11.65,Apr-2024,638.1115879828325
183,0.11,362.35,6,60,0.1,Electronics,Europe,0.1559,0.87,135.63,Jun-2024,167.1606576716066
210,0.04,134.35,7,258,0.03,Toys,North America,0.197,1.89,372.33,Sep-2024,-63.91641823113904
160,0.15,241.59,49,496,0.1,Home Appliances,Europe,0.0476,0.93,44.27,Oct-2024,445.71944883668397
198,0.29,289.17,11,110,0.1,Clothing,North America,0.1643,0.12,19.72,Apr-2024,1366.379310344828
189,0.29,344.41,29,368,0.08,Home Appliances,North America,0.1484,1.4,207.76,Dec-2023,65.77300731613403
152,0.02,158.79,7,125,0.06,Clothing,Asia,0.1335,1.95,260.33,Dec-2023,-39.00434064456651
175,0.15,246.29,38,353,0.11,Toys,Europe,0.041,1.32,54.12,Jan-2024,355.0813008130081
139,0.06,392.33,45,463,0.1,Books,Asia,0.1902,1.25,237.75,Jul-2024,65.01787592008411
168,0.16,650.78,48,102,0.47,Electronics,Asia,0.1449,0.35,50.72,Feb-2024,1183.0835962145109
168,0.13,356.17,2,223,0.01,Clothing,Europe,0.1935,1.81,350.24,Jul-2024,1.6931247144815003
161,0.06,186.87,33,197,0.17,Toys,Asia,0.1173,1.9,222.87,Apr-2024,-16.15291425494683
139,0.16,206.56,3,269,0.01,Books,Asia,0.0384,1.91,73.34,Jul-2024,181.6471229888192
156,0.1,1577.38,21,145,0.14,Clothing,Asia,0.1591,1.33,211.6,May-2024,645.4536862003782
183,0.24,24.58,5,398,0.01,Books,North America,0.11,1.19,130.9,Mar-2024,-81.22230710466005
182,0.28,706.84,25,45,0.56,Books,North America,0.177,0.98,173.46,Aug-2024,307.494523233022
182,0.26,173.22,20,366,0.05,Books,North America,0.055,0.27,14.85,Sep-2024,1066.4646464646464
155,0.24,850.1,34,224,0.15,Books,Europe,0.0925,0.75,69.37,Jan-2024,1125.4576906443708
192,0.23,772.3,1,454,0.0,Home Appliances,North America,0.1464,0.57,83.45,Mar-2024,825.4643499101256
152,0.25,182.3,45,370,0.12,Clothing,Asia,0.0103,1.72,17.72,Feb-2024,928.781038374718
192,0.1,292.46,9,174,0.05,Home Appliances,North America,0.112,1.13,126.56,Jun-2024,131.08407079646017
174,0.18,402.38,34,27,1.26,Toys,Europe,0.0155,0.69,10.7,Apr-2024,3660.560747663552
168,0.26,539.46,13,192,0.07,Electronics,Asia,0.1382,1.78,246.0,Oct-2024,119.29268292682929
168,0.24,83.17,43,272,0.16,Electronics,Asia,0.1082,0.51,55.18,Aug-2024,50.724900326205145
200,0.14,468.61,13,329,0.04,Clothing,North America,0.1924,0.83,159.69,Sep-2024,193.4498090049471
180,0.3,540.9,4,315,0.01,Books,North America,0.0984,0.59,58.06,Mar-2024,831.6224595246297
158,0.12,251.03,46,70,0.66,Toys,Asia,0.1159,1.3,150.67,Aug-2024,66.60914581535809
215,0.04,407.59,43,396,0.11,Electronics,North America,0.1207,1.89,228.12,Apr-2024,78.67350517271609
152,0.12,517.4,9,260,0.03,Clothing,Asia,0.0137,1.4,19.18,Feb-2024,2597.601668404588
215,0.14,159.86,20,112,0.18,Electronics,North America,0.0682,1.49,101.62,Jun-2024,57.31155284392837
216,0.21,467.05,32,188,0.17,Electronics,North America,0.1697,1.16,196.85,Feb-2024,137.26187452374907
201,0.3,857.7,39,54,0.72,Clothing,North America,0.0962,0.64,61.57,Sep-2024,1293.0485626116615
152,0.23,223.39,41,228,0.18,Books,Europe,0.0505,1.46,73.73,Jan-2024,202.98386002983855
160,0.14,855.79,13,429,0.03,Home Appliances,Europe,0.1029,0.1,10.29,Jan-2024,8216.715257531585
169,0.22,981.23,8,329,0.02,Clothing,Europe,0.1449,0.72,104.33,Jul-2024,840.5060864564364
162,0.09,1126.43,15,306,0.05,Home Appliances,Europe,0.0913,0.4,36.52,Oct-2024,2984.419496166484
218,0.1,407.4,39,130,0.3,Electronics,North America,0.1254,0.68,85.27,Dec-2023,377.77647472733673
182,0.05,1104.12,8,122,0.07,Books,North America,0.0275,0.34,9.35,Feb-2024,11708.770053475937
158,0.16,224.66,38,340,0.11,Toys,Asia,0.0556,1.64,91.18,Jan-2024,146.39175257731955
141,0.22,1118.33,27,435,0.06,Books,Asia,0.0202,1.23,24.85,May-2024,4400.321931589538
210,0.2,419.62,24,259,0.09,Toys,North America,0.1325,1.51,200.08,Nov-2024,109.72610955617752
154,0.24,448.83,31,300,0.1,Clothing,Asia,0.0157,1.84,28.89,Feb-2024,1453.582554517134
154,0.25,588.09,9,439,0.02,Books,Europe,0.1748,1.51,263.95,Apr-2024,122.80356128054557
215,0.23,693.75,16,374,0.04,Electronics,North America,0.0212,0.51,10.81,Jun-2024,6317.668825161887
173,0.2,243.49,18,291,0.06,Toys,Europe,0.1771,1.0,177.1,Apr-2024,37.487295313382276
187,0.06,181.03,14,115,0.12,Home Appliances,North America,0.0505,1.23,62.12,May-2024,191.41983258209916
159,0.14,425.91,35,449,0.08,Toys,Asia,0.093,1.53,142.29,Nov-2024,199.32532152646004
144,0.01,96.27,48,54,0.89,Home Appliances,Asia,0.1014,0.82,83.15,Apr-2024,15.778713168971725
179,0.0,218.14,45,354,0.13,Books,North America,0.0318,1.68,53.42,Jan-2024,308.3489329839011
140,0.15,391.54,36,301,0.12,Books,Asia,0.1847,1.82,336.15,Jul-2024,16.477762903465727
159,0.13,711.38,0,123,0.0,Home Appliances,Europe,0.0736,1.18,86.85,Mar-2024,719.0903857225101
188,0.24,133.84,2,194,0.01,Home Appliances,North America,0.1528,1.09,166.55,Aug-2024,-19.639747823476437
194,0.02,159.75,1,308,0.0,Clothing,North America,0.1688,1.81,305.53,Apr-2024,-47.71380879128072
160,0.01,762.66,38,117,0.32,Home Appliances,Europe,0.1035,0.95,98.32,Aug-2024,675.6916192026038
215,0.03,1167.67,22,360,0.06,Electronics,North America,0.1563,0.68,106.28,Nov-2024,998.6733157696651
149,0.19,123.94,38,150,0.25,Clothing,Asia,0.1893,1.64,310.45,Jul-2024,-60.077307134804315
185,0.15,257.26,37,121,0.31,Home Appliances,North America,0.1602,0.49,78.5,Nov-2024,227.7197452229299
164,0.27,320.79,33,172,0.19,Clothing,Europe,0.1025,0.67,68.68,May-2024,367.0792079207921
164,0.28,348.7,21,320,0.07,Clothing,Europe,0.0351,1.56,54.76,Mar-2024,536.7786705624543
173,0.12,735.17,25,193,0.13,Toys,Europe,0.1406,0.62,87.17,Oct-2024,743.3750143397958
159,0.05,1857.71,30,44,0.68,Toys,Asia,0.0622,1.28,79.62,Nov-2024,2233.220296407938
149,0.04,421.86,7,30,0.23,Clothing,Asia,0.0375,1.83,68.62,Sep-2024,514.7770329350044
168,0.23,1353.48,42,183,0.23,Clothing,Europe,0.1927,1.85,356.5,Jul-2024,279.6577840112202
163,0.29,131.97,7,475,0.01,Electronics,Asia,0.1428,0.64,91.39,Nov-2024,44.4031075610023
142,0.28,267.29,23,43,0.53,Home Appliances,Asia,0.1455,1.45,210.97,Dec-2023,26.69573873062522
151,0.21,883.65,27,476,0.06,Books,Europe,0.1433,1.83,262.24,May-2024,236.96232458816348
173,0.19,775.25,47,60,0.78,Toys,Europe,0.0131,0.95,12.44,Feb-2024,6131.913183279742
179,0.1,359.89,0,341,0.0,Electronics,Europe,0.1299,1.9,246.81,May-2024,45.816620072120244
216,0.12,813.93,13,156,0.08,Electronics,North America,0.1959,1.14,223.33,Feb-2024,264.4517082344512
158,0.24,322.21,18,463,0.04,Home Appliances,Europe,0.0625,1.67,104.38,Jul-2024,208.68940410040238
149,0.12,213.9,11,14,0.79,Clothing,Asia,0.1726,1.39,239.91,Apr-2024,-10.841565587095157
164,0.19,1039.8,49,237,0.21,Electronics,Asia,0.0415,0.63,26.15,Apr-2024,3876.290630975144
185,0.05,887.2,17,343,0.05,Home Appliances,North America,0.1367,0.44,60.15,Sep-2024,1374.9792186201166
159,0.11,1085.09,27,13,2.08,Home Appliances,Europe,0.1746,1.74,303.8,Jul-2024,257.17248189598416
180,0.03,873.81,1,18,0.06,Electronics,Europe,0.1112,0.31,34.47,Apr-2024,2434.9869451697127
176,0.13,612.98,40,347,0.12,Books,North America,0.1168,0.59,68.91,Feb-2024,789.5370773472647
141,0.04,448.27,43,265,0.16,Home Appliances,Asia,0.1671,0.58,96.92,Sep-2024,362.5154766817994
137,0.04,1332.49,21,30,0.7,Books,Asia,0.1854,0.17,31.52,Jan-2024,4127.442893401016
206,0.01,585.6,33,112,0.29,Toys,North America,0.1361,0.23,31.3,Aug-2024,1770.9265175718851
173,0.17,660.37,49,148,0.33,Toys,Europe,0.0459,0.64,29.38,Aug-2024,2147.685500340368
158,0.08,1415.59,6,168,0.04,Toys,Asia,0.0703,1.39,97.72,Dec-2023,1348.6185018419974
179,0.08,1187.2,30,81,0.37,Books,North America,0.1522,1.75,266.35,May-2024,345.7293035479632
158,0.01,1865.83,31,39,0.79,Toys,Asia,0.1806,1.98,357.59,Jan-2024,421.7791325260774
179,0.02,1469.14,25,410,0.06,Books,North America,0.1847,0.79,145.91,Nov-2024,906.8809540127477
155,0.29,287.68,14,453,0.03,Toys,Asia,0.1554,0.89,138.31,Aug-2024,107.9965295351023
164,0.24,180.41,39,123,0.32,Clothing,Europe,0.1755,0.38,66.69,Jul-2024,170.52031788873893
184,0.12,17.3,40,465,0.09,Home Appliances,North America,0.1359,1.59,216.08,May-2024,-91.99370603480193
206,0.09,1710.14,21,333,0.06,Toys,North America,0.0315,1.75,55.12,Feb-2024,3002.5761973875187
195,0.28,843.33,47,97,0.48,Clothing,North America,0.1034,1.34,138.56,May-2024,508.638856812933
174,0.25,280.92,19,172,0.11,Toys,Europe,0.0376,1.99,74.82,Jul-2024,275.4611066559744
188,0.16,1040.46,29,149,0.19,Home Appliances,North America,0.0913,1.37,125.08,Feb-2024,731.8356251998721
140,0.17,323.64,0,247,0.0,Home Appliances,Asia,0.1564,1.64,256.5,Dec-2023,26.175438596491222
